RoleDisplayName,Permission,RoleType
Agent ID Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,Built-in
Agent ID Administrator,microsoft.azure.supportTickets/allEntities/allTasks,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/assignLicense,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/basic/update,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/create,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/delete,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/disable,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/enable,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/invalidateAllRefreshTokens,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/lifeCycleInfo/read,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/lifeCycleInfo/update,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/manager/update,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/photo/update,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/reprocessLicenseAssignment,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/restore,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/revokeSignInSessions,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/sponsors/update,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/usageLocation/update,Built-in
Agent ID Administrator,microsoft.directory/agentUsers/userPrincipalName/update,Built-in
Agent ID Administrator,microsoft.directory/auditLogs/allProperties/read,Built-in
Agent ID Administrator,microsoft.directory/externalUserProfiles/standard/read,Built-in
Agent ID Administrator,microsoft.directory/groups.unified/createAsOwner,Built-in
Agent ID Administrator,microsoft.directory/groups/hiddenMembers/read,Built-in
Agent ID Administrator,microsoft.directory/organization/standard/read,Built-in
Agent ID Administrator,microsoft.directory/policies/standard/read,Built-in
Agent ID Administrator,microsoft.directory/signInReports/allProperties/read,Built-in
Agent ID Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,Built-in
Agent ID Administrator,microsoft.office365.supportTickets/allEntities/allTasks,Built-in
Agent ID Developer,microsoft.directory/servicePrincipals/standard/read,Built-in
Agent Registry Administrator,microsoft.agentRegistry/allEntities/allProperties/allTasks,Built-in
AI Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,Built-in
AI Administrator,microsoft.azure.supportTickets/allEntities/allTasks,Built-in
AI Administrator,microsoft.directory/agentUsers/assignLicense,Built-in
AI Administrator,microsoft.directory/agentUsers/basic/update,Built-in
AI Administrator,microsoft.directory/agentUsers/create,Built-in
AI Administrator,microsoft.directory/agentUsers/delete,Built-in
AI Administrator,microsoft.directory/agentUsers/disable,Built-in
AI Administrator,microsoft.directory/agentUsers/enable,Built-in
AI Administrator,microsoft.directory/agentUsers/invalidateAllRefreshTokens,Built-in
AI Administrator,microsoft.directory/agentUsers/lifeCycleInfo/read,Built-in
AI Administrator,microsoft.directory/agentUsers/lifeCycleInfo/update,Built-in
AI Administrator,microsoft.directory/agentUsers/manager/update,Built-in
AI Administrator,microsoft.directory/agentUsers/photo/update,Built-in
AI Administrator,microsoft.directory/agentUsers/reprocessLicenseAssignment,Built-in
AI Administrator,microsoft.directory/agentUsers/restore,Built-in
AI Administrator,microsoft.directory/agentUsers/revokeSignInSessions,Built-in
AI Administrator,microsoft.directory/agentUsers/sponsors/update,Built-in
AI Administrator,microsoft.directory/agentUsers/usageLocation/update,Built-in
AI Administrator,microsoft.directory/agentUsers/userPrincipalName/update,Built-in
AI Administrator,microsoft.directory/entitlementManagement/allProperties/read,Built-in
AI Administrator,microsoft.directory/subscribedSkus/standard/read,Built-in
AI Administrator,microsoft.directory/users/allProperties/read,Built-in
AI Administrator,microsoft.office365.copilot/allEntities/allProperties/allTasks,Built-in
AI Administrator,microsoft.office365.messageCenter/messages/read,Built-in
AI Administrator,microsoft.office365.network/performance/allProperties/read,Built-in
AI Administrator,microsoft.office365.search/content/manage,Built-in
AI Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,Built-in
AI Administrator,microsoft.office365.supportTickets/allEntities/allTasks,Built-in
AI Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,Built-in
AI Administrator,microsoft.office365.webPortal/allEntities/standard/read,Built-in
AI Reader,microsoft.azure.serviceHealth/allEntities/allTasks,Built-in
AI Reader,microsoft.directory/administrativeUnits/members/read,Built-in
AI Reader,microsoft.directory/administrativeUnits/standard/read,Built-in
AI Reader,microsoft.directory/agentUsers/lifeCycleInfo/read,Built-in
